date,machine_id,shift,operator_id,units_produced,defective_units,downtime_minutes
2025-01-01,M1,Day,OP8,106,6,61
2025-01-01,M1,Night,OP7,176,21,141
2025-01-01,M2,Day,OP6,148,5,13
2025-01-01,M2,Night,OP3,117,5,54
2025-01-01,M3,Day,OP1,132,11,40
2025-01-01,M3,Night,OP10,172,17,49
2025-01-01,M4,Day,OP1,119,5,28
2025-01-01,M4,Night,OP3,126,4,43
2025-01-01,M5,Day,OP5,127,3,6
2025-01-01,M5,Night,OP10,166,5,16
2025-01-02,M1,Day,OP6,176,11,107
2025-01-02,M1,Night,OP5,136,9,108
2025-01-02,M2,Day,OP9,168,11,59
2025-01-02,M2,Night,OP6,101,6,30
2025-01-02,M3,Day,OP4,122,14,20
2025-01-02,M3,Night,OP5,153,17,49
2025-01-02,M4,Day,OP10,117,2,12
2025-01-02,M4,Night,OP1,125,8,35
2025-01-02,M5,Day,OP8,113,2,13
2025-01-02,M5,Night,OP7,133,3,17
2025-01-03,M1,Day,OP6,169,11,75
2025-01-03,M1,Night,OP6,157,17,102
2025-01-03,M2,Day,OP2,106,4,16
2025-01-03,M2,Night,OP9,115,7,14
2025-01-03,M3,Day,OP8,127,10,28
2025-01-03,M3,Night,OP8,148,14,40
2025-01-03,M4,Day,OP9,100,3,15
2025-01-03,M4,Night,OP6,120,5,27
2025-01-03,M5,Day,OP7,177,8,23
2025-01-03,M5,Night,OP8,108,3,23
2025-01-04,M1,Day,OP6,136,12,82
2025-01-04,M1,Night,OP8,118,9,53
2025-01-04,M2,Day,OP4,118,6,31
2025-01-04,M2,Night,OP8,158,9,15
2025-01-04,M3,Day,OP1,160,14,34
2025-01-04,M3,Night,OP10,108,11,33
2025-01-04,M4,Day,OP9,111,3,13
2025-01-04,M4,Night,OP5,142,6,0
2025-01-04,M5,Day,OP2,104,1,9
2025-01-04,M5,Night,OP4,106,3,19
2025-01-05,M1,Day,OP8,135,13,112
2025-01-05,M1,Night,OP1,120,11,58
2025-01-05,M2,Day,OP7,173,9,70
2025-01-05,M2,Night,OP6,167,6,50
2025-01-05,M3,Day,OP1,122,16,53
2025-01-05,M3,Night,OP10,104,11,25
2025-01-05,M4,Day,OP8,164,8,27
2025-01-05,M4,Night,OP1,123,6,20
2025-01-05,M5,Day,OP4,144,1,8
2025-01-05,M5,Night,OP4,176,5,19
2025-01-06,M1,Day,OP3,177,12,110
2025-01-06,M1,Night,OP5,111,9,70
2025-01-06,M2,Day,OP10,156,9,27
2025-01-06,M2,Night,OP2,162,9,19
2025-01-06,M3,Day,OP9,124,13,14
2025-01-06,M3,Night,OP8,154,18,50
2025-01-06,M4,Day,OP4,116,4,16
2025-01-06,M4,Night,OP4,178,7,28
2025-01-06,M5,Day,OP1,170,3,1
2025-01-06,M5,Night,OP10,174,5,17
2025-01-07,M1,Day,OP6,114,6,114
2025-01-07,M1,Night,OP5,127,12,100
2025-01-07,M2,Day,OP3,171,6,15
2025-01-07,M2,Night,OP3,166,6,49
2025-01-07,M3,Day,OP9,130,11,37
2025-01-07,M3,Night,OP9,119,14,34
2025-01-07,M4,Day,OP8,117,4,19
2025-01-07,M4,Night,OP9,146,6,56
2025-01-07,M5,Day,OP6,134,2,7
2025-01-07,M5,Night,OP6,139,4,30
2025-01-08,M1,Day,OP5,134,9,94
2025-01-08,M1,Night,OP4,153,16,103
2025-01-08,M2,Day,OP10,157,6,25
2025-01-08,M2,Night,OP3,154,7,52
2025-01-08,M3,Day,OP5,172,19,16
2025-01-08,M3,Night,OP2,121,18,80
2025-01-08,M4,Day,OP3,126,7,18
2025-01-08,M4,Night,OP3,131,4,30
2025-01-08,M5,Day,OP8,160,4,4
2025-01-08,M5,Night,OP1,150,4,21
2025-01-09,M1,Day,OP10,115,5,54
2025-01-09,M1,Night,OP7,149,12,98
2025-01-09,M2,Day,OP9,170,6,26
2025-01-09,M2,Night,OP8,113,4,31
2025-01-09,M3,Day,OP9,102,9,26
2025-01-09,M3,Night,OP2,180,20,56
2025-01-09,M4,Day,OP6,171,8,27
2025-01-09,M4,Night,OP3,140,9,25
2025-01-09,M5,Day,OP6,115,1,13
2025-01-09,M5,Night,OP3,102,3,13
2025-01-10,M1,Day,OP7,148,12,42
2025-01-10,M1,Night,OP2,179,12,129
2025-01-10,M2,Day,OP5,109,3,28
2025-01-10,M2,Night,OP3,146,6,22
2025-01-10,M3,Day,OP1,114,12,36
2025-01-10,M3,Night,OP3,100,9,47
2025-01-10,M4,Day,OP5,148,5,31
2025-01-10,M4,Night,OP1,163,10,38
2025-01-10,M5,Day,OP7,109,2,2
2025-01-10,M5,Night,OP10,101,3,20
2025-01-11,M1,Day,OP5,173,16,86
2025-01-11,M1,Night,OP8,115,8,118
2025-01-11,M2,Day,OP5,155,5,18
2025-01-11,M2,Night,OP1,165,10,20
2025-01-11,M3,Day,OP3,148,17,26
2025-01-11,M3,Night,OP4,159,17,35
2025-01-11,M4,Day,OP9,180,7,12
2025-01-11,M4,Night,OP7,179,17,65
2025-01-11,M5,Day,OP2,131,3,5
2025-01-11,M5,Night,OP9,117,4,8
2025-01-12,M1,Day,OP6,133,14,108
2025-01-12,M1,Night,UNKNOWN,122,11,62
2025-01-12,M2,Day,OP10,118,4,5
2025-01-12,M2,Night,OP2,145,9,25
2025-01-12,M3,Day,OP1,147,16,23
2025-01-12,M3,Night,OP10,133,13,49
2025-01-12,M4,Day,OP1,171,7,31
2025-01-12,M4,Night,OP5,157,4,47
2025-01-12,M5,Day,OP9,147,3,15
2025-01-12,M5,Night,OP10,159,4,17
2025-01-13,M1,Day,OP4,123,7,44
2025-01-13,M1,Night,OP8,142,12,123
2025-01-13,M2,Day,OP6,144,7,72
2025-01-13,M2,Night,OP1,138,4,24
